Date,Open,High,Low,Close
Jan 28 2022,37160.11,38000,36155.01,37716.56
Jan 29 2022,37716.57,38720.74,37268.44,38166.84
Jan 30 2022,38166.83,38359.26,37351.63,37881.76
Jan 31 2022,37881.75,38744,36632.61,38466.9
Feb 1 2022,38466.9,39265.2,38000,38694.59
Feb 2 2022,38694.59,38855.92,36586.95,36896.36
Feb 3 2022,36896.37,37387,36250,37311.61
Feb 4 2022,37311.98,41772.33,37026.73,41574.25
Feb 5 2022,41571.7,41913.69,40843.01,41382.59
Feb 6 2022,41382.6,42656,41116.56,42380.87
Feb 7 2022,42380.87,44500.5,41645.85,43839.99
Feb 8 2022,43839.99,45492,42666,44042.99
Feb 9 2022,44043,44799,43117.92,44372.72
Feb 10 2022,44372.71,45821,43174.01,43495.44
Feb 11 2022,43495.44,43920,41938.51,42373.73
Feb 12 2022,42373.73,43079.49,41688.88,42217.87
Feb 13 2022,42217.87,42760,41870,42053.66
Feb 14 2022,42053.65,42842.4,41550.56,42535.94
Feb 15 2022,42535.94,44751.4,42427.03,44544.86
Feb 16 2022,44544.85,44549.97,43307,43873.56
Feb 17 2022,43873.56,44164.71,40073.21,40515.7
Feb 18 2022,40515.71,40959.88,39450,39974.44
Feb 19 2022,39974.45,40444.32,39639.03,40079.17
Feb 20 2022,40079.17,40125.44,38000,38386.89
Feb 21 2022,38386.89,39494.35,36800,37008.16
Feb 22 2022,37008.16,38429,36350,38230.33
Feb 23 2022,38230.33,39249.93,37036.79,37250.01
Feb 24 2022,37250.02,39843,34322.28,38327.21
Feb 25 2022,38328.68,39683.53,38014.37,39219.17
Feb 26 2022,39219.16,40348.45,38573.18,39116.72
Feb 27 2022,39116.73,39855.7,37000,37699.07
Feb 28 2022,37699.08,44225.84,37450.17,43160
Mar 1 2022,43160,44949,42809.98,44421.2
Mar 2 2022,44421.2,45400,43334.09,43892.98
Mar 3 2022,43892.99,44101.12,41832.28,42454
Mar 4 2022,42454,42527.3,38550,39148.66
Mar 5 2022,39148.65,39613.24,38407.59,39397.96
Mar 6 2022,39397.97,39693.87,38088.57,38420.81
Mar 7 2022,38420.8,39547.57,37155,37988
Mar 8 2022,37988.01,39362.08,37867.65,38730.63
Mar 9 2022,38730.63,42594.06,38656.45,41941.71
Mar 10 2022,41941.7,42039.63,38539.73,39422
Mar 11 2022,39422.01,40236.26,38223.6,38729.57
Mar 12 2022,38729.57,39486.71,38660.52,38807.36
Mar 13 2022,38807.35,39310,37578.51,37777.34
Mar 14 2022,37777.35,39947.12,37555,39671.37
Mar 15 2022,39671.37,39887.61,38098.33,39280.33
Mar 16 2022,39280.33,41718,38828.48,41114
Mar 17 2022,41114.01,41478.82,40500,40917.9
Mar 18 2022,40917.89,42325.02,40135.04,41757.51
Mar 19 2022,41757.51,42400,41499.29,42201.13
Mar 20 2022,42201.13,42296.26,40911,41262.11
Mar 21 2022,41262.11,41544.22,40467.94,41002.25
Mar 22 2022,41002.26,43361,40875.51,42364.13
Mar 23 2022,42364.13,43025.96,41751.47,42882.76
Mar 24 2022,42882.76,44220.89,42560.46,43991.46
Mar 25 2022,43991.46,45094.14,43579,44313.16
Mar 26 2022,44313.16,44792.99,44071.97,44511.27
Mar 27 2022,44511.27,46999,44421.46,46827.76
Mar 28 2022,46827.76,48189.84,46663.56,47122.21
Mar 29 2022,47122.21,48096.47,46950.85,47434.8
Mar 30 2022,47434.79,47700.22,46445.42,47067.99
Mar 31 2022,47067.99,47600,45200,45510.34
Apr 1 2022,45510.35,46720.09,44200,46283.49
Apr 2 2022,46283.49,47213,45620,45811
Apr 3 2022,45810.99,47444.11,45530.92,46407.35
Apr 4 2022,46407.36,46890.71,45118,46580.51
Apr 5 2022,46580.5,47200,45353.81,45497.55
Apr 6 2022,45497.54,45507.14,43121,43170.47
Apr 7 2022,43170.47,43900.99,42727.35,43444.19
Apr 8 2022,43444.2,43970.62,42107.14,42252.01
Apr 9 2022,42252.02,42800,42125.48,42753.97
Apr 10 2022,42753.96,43410.3,41868,42158.85
Apr 11 2022,42158.85,42414.71,39200,39530.45
Apr 12 2022,39530.45,40699,39254.63,40074.94
Apr 13 2022,40074.95,41561.31,39588.54,41147.79
Apr 14 2022,41147.78,41500,39551.94,39942.38
Apr 15 2022,39942.37,40870.36,39766.4,40551.9
Apr 16 2022,40551.9,40709.35,39991.55,40378.71
Apr 17 2022,40378.7,40595.67,39546.17,39678.12
Apr 18 2022,39678.11,41116.73,38536.51,40801.13
Apr 19 2022,40801.13,41760,40571,41493.18
Apr 20 2022,41493.19,42199,40820,41358.19
Apr 21 2022,41358.19,42976,39751,40480.01
Apr 22 2022,40480.01,40795.06,39177,39709.18
Apr 23 2022,39709.19,39980,39285,39441.6
Apr 24 2022,39441.61,39940,38929.62,39450.13
Apr 25 2022,39450.12,40616,38200,40426.08
Apr 26 2022,40426.08,40797.31,37702.26,38112.65
Apr 27 2022,38112.64,39474.72,37881.31,39235.72
Apr 28 2022,39235.72,40372.63,38881.43,39742.07
Apr 29 2022,39742.06,39925.25,38175,38596.11
Apr 30 2022,38596.11,38795.38,37578.2,37630.8
May 1 2022,37630.8,38675,37386.38,38468.35
May 2 2022,38468.35,39167.34,38052,38525.16
May 3 2022,38525.16,38651.51,37517.8,37728.95
May 4 2022,37728.95,40023.77,37670,39690
May 5 2022,39690,39845.51,35571.9,36552.97
May 6 2022,36552.97,36675.63,35258,36013.77
May 7 2022,36013.77,36146.3,34785,35472.39
May 8 2022,35472.4,35514.22,33713.95,34038.4
May 9 2022,34038.39,34243.15,30033.33,30076.31
May 10 2022,30074.23,32658.99,29730.4,31017.1
May 11 2022,31017.11,32162.59,27785,29103.94
May 12 2022,29103.94,30243,26700,29029.75
May 13 2022,29029.74,31083.37,28751.67,29287.05
May 14 2022,29287.05,30343.27,28630,30086.74
May 15 2022,30086.74,31460,29480,31328.89
