1,2,3,4,5
Mar 6 2023,22430.24,22602.19,22258,22410
Mar 7 2023,22409.41,22557.91,21927,22197.96
Mar 8 2023,22198.56,22287,21580,21705.44
Mar 9 2023,21704.37,21834.99,20042.72,20362.22
Mar 10 2023,20362.21,20367.78,19549.09,20150.69
Mar 11 2023,20150.69,20686.51,19765.03,20455.73
Mar 12 2023,20455.73,22150,20270.6,21997.11
Mar 13 2023,21998.05,24500,21813.88,24113.48
Mar 14 2023,24112.27,26386.87,23976.42,24670.41
Mar 15 2023,24670.41,25196.97,23896.95,24285.66
Mar 16 2023,24285.66,25167.4,24123,24998.78
Mar 17 2023,24998.78,27756.84,24890,27395.13
Mar 18 2023,27395.13,27724.85,26578,26907.49
Mar 19 2023,26907.49,28390.1,26827.22,27972.87
Mar 20 2023,27972.87,28472,27124.47,27717.01
Mar 21 2023,27717.01,28438.55,27303.1,28105.47
Mar 22 2023,28107.81,28868.05,26601.8,27250.97
Mar 23 2023,27250.97,28750,27105,28295.41
Mar 24 2023,28295.42,28374.3,27000,27454.47
Mar 25 2023,27454.46,27787.33,27156.09,27462.95
